time_stamp,humidity,pm2.5_atm,pm2.5_cf_1,sensor_index
2025-01-16 20:00:00+00:00,35.0,9.4,9.4,237281
2025-01-16 09:00:00+00:00,40.0,3.4,3.4,237281
2025-01-16 00:00:00+00:00,39.0,8.7,8.7,237281
2025-01-16 10:00:00+00:00,41.0,5.4,5.4,237281
2025-01-16 23:00:00+00:00,35.0,3.9,3.9,237281
2025-01-16 11:00:00+00:00,41.0,5.4,5.4,237281
2025-01-16 19:00:00+00:00,32.0,6.0,6.0,237281
2025-01-16 02:00:00+00:00,45.0,18.9,19.0,237281
2025-01-16 04:00:00+00:00,47.0,26.1,26.9,237281
2025-01-16 06:00:00+00:00,46.0,13.6,13.6,237281
2025-01-19 00:00:00+00:00,44.0,13.2,13.2,237281
2025-01-19 14:00:00+00:00,48.0,25.2,25.3,237281
2025-01-19 18:00:00+00:00,47.0,28.9,29.5,237281
2025-01-19 03:00:00+00:00,47.0,37.6,43.6,237281
2025-01-23 18:00:00+00:00,28.0,7.2,7.2,237281
2025-01-23 13:00:00+00:00,40.0,7.0,7.0,237281
2025-01-23 09:00:00+00:00,41.0,11.3,11.3,237281
2025-01-23 23:00:00+00:00,24.0,4.4,4.4,237281
2025-01-23 12:00:00+00:00,40.0,6.6,6.6,237281
2025-01-23 03:00:00+00:00,38.0,12.4,12.4,237281
2025-01-23 04:00:00+00:00,35.0,10.1,10.1,237281
2025-01-23 17:00:00+00:00,35.0,8.2,8.2,237281
2025-01-21 17:00:00+00:00,36.0,8.9,8.9,237281
2025-01-21 15:00:00+00:00,41.0,9.1,9.1,237281
2025-01-21 01:00:00+00:00,38.0,20.5,21.2,237281
2025-01-21 05:00:00+00:00,37.0,25.6,25.9,237281
2025-01-21 18:00:00+00:00,30.0,11.0,11.0,237281
2025-01-21 16:00:00+00:00,39.0,8.9,8.9,237281
2025-01-24 20:00:00+00:00,32.0,23.8,23.9,237281
2025-01-24 09:00:00+00:00,37.0,10.6,10.6,237281
2025-01-24 17:00:00+00:00,37.0,12.9,12.9,237281
2025-01-24 16:00:00+00:00,39.0,9.6,9.6,237281
2025-01-24 12:00:00+00:00,39.0,7.9,7.9,237281
2025-01-24 22:00:00+00:00,44.0,21.7,21.7,237281
2025-01-14 10:00:00+00:00,40.0,7.0,7.0,237281
2025-01-14 06:00:00+00:00,38.0,18.6,18.6,237281
2025-01-14 14:00:00+00:00,40.0,5.7,5.7,237281
2025-01-14 13:00:00+00:00,39.0,5.7,5.7,237281
2025-01-14 21:00:00+00:00,34.0,6.5,6.5,237281
2025-01-14 22:00:00+00:00,33.0,4.5,4.5,237281
2025-01-14 00:00:00+00:00,34.0,8.9,8.9,237281
2025-01-14 12:00:00+00:00,41.0,9.4,9.4,237281
2025-01-15 21:00:00+00:00,37.0,7.4,7.4,237281
2025-01-15 18:00:00+00:00,32.0,10.9,10.9,237281
2025-01-15 15:00:00+00:00,42.0,6.0,6.1,237281
2025-01-15 08:00:00+00:00,46.0,6.3,6.3,237281
2025-01-22 21:00:00+00:00,28.0,4.9,4.9,237281
2025-01-22 06:00:00+00:00,39.0,16.1,16.1,237281
2025-01-22 18:00:00+00:00,27.0,5.4,5.4,237281
2025-01-22 14:00:00+00:00,40.0,5.3,5.3,237281
2025-01-22 13:00:00+00:00,40.0,4.9,4.9,237281
2025-01-17 04:00:00+00:00,42.0,22.6,22.8,237281
2025-01-17 23:00:00+00:00,42.0,13.8,13.8,237281
2025-01-17 02:00:00+00:00,45.0,15.6,15.7,237281
2025-01-17 21:00:00+00:00,41.0,10.4,10.4,237281
2025-01-20 03:00:00+00:00,46.0,14.1,14.1,237281
2025-01-20 15:00:00+00:00,48.0,18.6,18.6,237281
2025-01-20 17:00:00+00:00,45.0,17.4,17.5,237281
2025-01-20 19:00:00+00:00,35.0,19.1,19.1,237281
2025-01-18 00:00:00+00:00,41.0,16.7,16.7,237281
2025-01-18 16:00:00+00:00,46.0,22.4,22.5,237281
2025-01-18 13:00:00+00:00,46.0,32.2,34.1,237281
2025-01-18 15:00:00+00:00,46.0,23.8,23.8,237281
2025-01-18 23:00:00+00:00,43.0,17.6,17.6,237281
2025-01-18 18:00:00+00:00,45.0,19.1,19.1,237281
2025-01-18 06:00:00+00:00,44.0,13.4,13.4,237281
2025-01-18 04:00:00+00:00,43.0,18.4,18.4,237281
2025-01-16 07:00:00+00:00,45.0,9.8,9.8,237281
2025-01-16 15:00:00+00:00,40.0,8.9,9.0,237281
2025-01-16 03:00:00+00:00,45.0,29.5,32.9,237281
2025-01-16 17:00:00+00:00,40.0,10.3,10.3,237281
2025-01-16 01:00:00+00:00,40.0,18.3,18.3,237281
2025-01-16 16:00:00+00:00,41.0,7.5,7.5,237281
2025-01-16 14:00:00+00:00,40.0,5.4,5.4,237281
2025-01-19 17:00:00+00:00,48.0,30.9,32.2,237281
2025-01-19 06:00:00+00:00,47.0,33.1,35.7,237281
2025-01-19 22:00:00+00:00,44.0,22.0,22.1,237281
2025-01-19 09:00:00+00:00,49.0,26.0,26.4,237281
2025-01-19 04:00:00+00:00,47.0,38.3,44.8,237281
2025-01-23 21:00:00+00:00,25.0,5.0,5.0,237281
2025-01-23 10:00:00+00:00,42.0,9.5,9.5,237281
2025-01-23 11:00:00+00:00,40.0,7.7,7.7,237281
2025-01-23 05:00:00+00:00,37.0,16.1,16.1,237281
2025-01-23 07:00:00+00:00,37.0,11.1,11.1,237281
2025-01-23 08:00:00+00:00,40.0,10.7,10.8,237281
2025-01-23 06:00:00+00:00,38.0,15.3,15.3,237281
2025-01-21 04:00:00+00:00,37.0,16.3,16.3,237281
2025-01-21 10:00:00+00:00,42.0,12.4,12.4,237281
2025-01-21 02:00:00+00:00,38.0,31.2,33.1,237281
2025-01-21 22:00:00+00:00,32.0,11.0,11.0,237281
2025-01-21 23:00:00+00:00,33.0,8.9,8.9,237281
2025-01-24 21:00:00+00:00,35.0,16.7,16.7,237281
2025-01-24 11:00:00+00:00,42.0,11.7,11.7,237281
2025-01-24 15:00:00+00:00,38.0,9.7,9.7,237281
2025-01-24 06:00:00+00:00,39.0,12.5,12.5,237281
2025-01-24 04:00:00+00:00,40.0,20.5,20.6,237281
2025-01-24 13:00:00+00:00,39.0,10.7,10.7,237281
2025-01-14 17:00:00+00:00,42.0,5.4,5.4,237281
2025-01-14 08:00:00+00:00,39.0,9.3,9.3,237281
2025-01-14 20:00:00+00:00,34.0,5.0,5.0,237281
2025-01-14 16:00:00+00:00,42.0,9.9,9.9,237281
2025-01-14 19:00:00+00:00,31.0,4.0,4.0,237281
2025-01-14 09:00:00+00:00,39.0,9.4,9.4,237281
2025-01-14 07:00:00+00:00,39.0,17.9,17.9,237281
2025-01-14 02:00:00+00:00,34.0,26.0,26.4,237281
2025-01-14 03:00:00+00:00,35.0,18.9,18.9,237281
2025-01-14 11:00:00+00:00,39.0,5.6,5.6,237281
2025-01-15 00:00:00+00:00,41.0,3.4,3.4,237281
2025-01-15 10:00:00+00:00,45.0,7.0,7.0,237281
2025-01-15 16:00:00+00:00,44.0,10.5,10.5,237281
2025-01-15 23:00:00+00:00,34.0,7.1,7.1,237281
2025-01-15 14:00:00+00:00,43.0,5.1,5.1,237281
2025-01-15 06:00:00+00:00,48.0,29.8,33.1,237281
2025-01-15 05:00:00+00:00,48.0,21.7,22.0,237281
2025-01-15 22:00:00+00:00,29.0,5.6,5.6,237281
2025-01-22 05:00:00+00:00,37.0,13.8,13.8,237281
2025-01-22 04:00:00+00:00,37.0,21.0,21.0,237281
2025-01-22 17:00:00+00:00,36.0,5.8,5.8,237281
2025-01-22 12:00:00+00:00,39.0,5.1,5.1,237281
2025-01-22 11:00:00+00:00,33.0,5.9,5.9,237281
2025-01-22 08:00:00+00:00,39.0,9.8,9.8,237281
2025-01-22 09:00:00+00:00,36.0,9.3,9.3,237281
2025-01-17 03:00:00+00:00,43.0,15.9,15.9,237281
2025-01-17 13:00:00+00:00,50.0,25.9,26.1,237281
2025-01-17 06:00:00+00:00,45.0,17.6,17.6,237281
2025-01-17 09:00:00+00:00,50.0,29.5,30.4,237281
2025-01-17 15:00:00+00:00,48.0,24.6,24.7,237281
2025-01-17 01:00:00+00:00,46.0,11.1,11.2,237281
2025-01-17 16:00:00+00:00,49.0,27.5,27.9,237281
2025-01-17 12:00:00+00:00,49.0,29.3,29.9,237281
2025-01-17 08:00:00+00:00,49.0,30.0,30.9,237281
2025-01-20 04:00:00+00:00,46.0,14.6,14.6,237281
2025-01-20 22:00:00+00:00,36.0,12.6,12.6,237281
2025-01-20 21:00:00+00:00,34.0,13.6,13.6,237281
2025-01-20 16:00:00+00:00,49.0,18.9,18.9,237281
2025-01-18 20:00:00+00:00,40.0,20.3,20.4,237281
2025-01-18 07:00:00+00:00,44.0,16.8,16.8,237281
