sensor_index,baseline_pm25,prefire_count,name,latitude,longitude,baseline_ok
4355,5.85,74,Laurel/California,36.968987,-122.03479,True
5488,5.5,74,Spruce @ 16th,36.618027,-121.919815,True
5650,5.35,74,Midtown Santa Cruz,36.981,-122.012,True
7846,2.9,74,Hillside Ave,36.603,-121.9294,True
9190,1.1,74,CCA Tierra Grande and Via Paloma,36.537224,-121.79822,True
9750,0.1,74,Las Cumbres,37.208908,-122.06513,True
11032,5.0,51,Hollister_snnyslp_ln,36.83655,-121.37074,True
18561,2.8,74,Del Rey Oaks,36.591408,-121.83396,True
18877,0.3,74,"Los Gatos, CA",37.143368,-122.01382,True
19211,5.95,74,SempleAve ,36.967335,-121.88514,True
19457,2.6500000000000004,74,Soquel Elementary,36.985897,-121.95652,True
19463,3.9,74,downtown on River Street,36.97847,-122.02638,True
19669,7.449999999999999,74,Country Estates,37.050777,-122.15775,True
19733,4.55,74,Grooming bays,36.924152,-121.81189,True
20383,0.8,74,Firhaven Ln,37.10173,-121.90174,True
20573,1.15,74,Madrone Place AQI,37.246506,-122.126465,True
20607,4.9,74,Spencer Ct,36.982265,-121.98709,True
21887,8.05,74,Fish,36.967377,-122.043,True
22427,0.5,74,BigSurMiddleRoad,36.254562,-121.81609,True
29349,3.9,74,Front Porch Aromas,36.905457,-121.65945,True
33673,6.3,74,Fairhaven,36.5681,-121.96127,True
34125,5.25,74,PG-Lighthouse,36.617977,-121.90805,True
36239,9.25,74,Jackson Ave,37.081284,-122.09461,True
36559,2.5,74,SJGR Salinas,36.75225,-121.62232,True
36619,1.0,74,Empire/Pine Flat,37.0837,-122.13436,True
38661,0.5,74,Lower Favre,37.190155,-122.05823,True
39489,0.45,74,IRR-IRW,37.25159,-122.12254,True
42967,4.699999999999999,74,Bonny Doon,37.048027,-122.16178,True
46465,11.0,74,Lompico Park,37.104336,-122.050674,True
53503,1.7000000000000002,74,Elk Run,36.58021,-121.86322,True
53877,2.25,74,PA-2 Colleen,36.990856,-121.93677,True
54745,1.15,74,Granite Ridge,37.060158,-121.99086,True
55171,4.85,74,Timber Ridge,37.07026,-121.98965,True
55699,2.8,74,Viewpoint,36.98682,-121.91102,True
56033,1.65,74,Monterey,36.577515,-121.85851,True
60165,4.6,74,K&amp;S Lockwood,35.923088,-121.07588,True
60283,4.5,74,Front Porch,36.88689,-121.58291,True
60313,1.9,74,Timber Ridge Lane,37.06883,-121.98734,True
60549,8.149999999999999,74,alta,36.954903,-122.0388,True
60829,9.05,74,QUIEN SABE,37.04412,-122.02001,True
60843,4.5,74,eyeCatchLight Photography,36.969906,-122.048134,True
62207,3.5,74,15th Avenue,36.96255,-121.99147,True
63111,4.35,74,Marley,37.001842,-122.01962,True
63115,2.4,74,Camino Real,36.558426,-121.927345,True
63213,2.4,74,Canon Del Sol - La Selva Beach,36.92184,-121.85166,True
63507,1.9,74,Granite Creek Rd,37.036686,-121.99748,True
63873,6.25,74,Capitola Mall/Live Oak,36.970737,-121.9691,True
63933,3.8499999999999996,74,Colton out,36.591637,-121.90228,True
64315,1.0,74,Darwin's House,37.141586,-121.97135,True
64447,4.35,74,Hawthorne and Drake,36.611008,-121.9008,True
64711,3.6,74,Stance Ave,36.993504,-121.94746,True
65421,26.0,74,Brackney,37.067093,-122.0805,True
65657,6.1,74,Pleasure Point,36.958485,-121.97253,True
65695,3.9,74,Western Court,36.96797,-122.05804,True
65947,4.4,74,Sunny Cove,36.961082,-121.98862,True
66169,1.3,74,End of Echo Drive,37.142715,-121.97199,True
66185,5.0,74,SanMiguelCyn / TwinLakes Dr,36.87375,-121.689995,True
66355,3.0,74,Carmel Valley Ranch,36.5185,-121.79684,True
67193,6.25,74,Crest Lane Outdoors,36.91816,-121.83805,True
67323,1.7000000000000002,74,LV outside,36.996357,-121.874214,True
67349,1.45,74,Fontenay Villa,37.08076,-121.97402,True
67379,7.4,74,Roof,36.973373,-121.90826,True
67465,1.25,74,Agrinemsors - outside,36.46259,-121.729294,True
67477,9.9,74,MH outside,36.968086,-122.03695,True
67817,2.3,74,CBS_SV,36.55621,-121.91748,True
68057,0.3,74,SCT Outside,36.43751,-121.79037,True
68117,8.25,74,Lynwood Place (Outside),36.94366,-121.797195,True
68515,0.1,25,Lower Beatty,37.204376,-122.077896,True
68533,2.3,74,N.H. Hatton Road,36.54794,-121.9143,True
69259,0.9,74,Summit West - Mountain Charlie,37.133663,-121.99027,True
69267,1.3,56,Calera Wine Company,36.738834,-121.37092,True
69557,12.9,74,Ashley and Balir,37.053818,-122.076485,True
69681,4.9,74,Front Porch,36.876312,-121.62787,True
69899,3.8,74,The Dunes Marina,36.66424,-121.80471,True
70475,12.05,74,Aviator Ct,37.0524,-122.03299,True
70871,0.2,74,Bear Creek Rec,37.141594,-122.08988,True
71541,5.3,74,Felton Heights,37.042908,-122.089485,True
71791,1.5,74,Schiller2,36.970497,-122.05811,True
71793,10.15,74,Quail Hollow Bowl,37.08128,-122.07145,True
72253,9.75,74,Buena Vista Outside,37.1509,-122.1251,True
72333,3.55,74,Spring Street Outside,36.982567,-122.04551,True
72573,2.6,74,Sensor3,36.82974,-121.64596,True
72597,0.35,74,San Bernabe,36.589924,-121.90349,True
73195,19.0,74,Hihn/Azalea,37.074978,-122.07756,True
73219,2.0,74,CV Village,36.481075,-121.733665,True
73589,53.849999999999994,74,HolbrookHouse,37.05646,-122.02592,True
73683,5.1,74,Harper Court,36.97484,-121.989395,True
74183,0.4,74,Shear Creek,37.202442,-122.06677,True
74529,1.2,74,Edgefield Drive,36.56183,-121.90849,True
74825,5.1,74,Nobel Gulch Park,36.97698,-121.95003,True
75019,3.25,74,The Cosmic Center,36.816586,-121.73004,True
75153,3.25,74,Spyglass #16,36.586884,-121.94758,True
75753,3.2,74,"Corallitos, CA",36.978012,-121.82062,True
76373,4.15,74,OnTheCliff,36.962433,-122.05608,True
76499,2.0,74,Harper,36.568073,-121.70494,True
77051,14.55,74,Navigator Drive,37.05044,-122.03397,True
77451,22.25,74,Big Foot Hill,37.038143,-122.07705,True
77841,2.4,74,MVRR,36.97136,-121.86338,True
78287,1.3,74,Big Redwood Park,37.114243,-121.98243,True
78433,1.15,74,Pippin,37.04834,-121.96994,True
78919,0.1,74,19yoZemite,36.617065,-121.828094,True
80409,4.2,74,Live Oak Santa Cruz,36.97257,-121.990425,True
80813,6.300000000000001,74,Hickman Ct.,36.959995,-121.97731,True
81047,4.05,74,Dover and Howe Outdoor,36.99021,-121.972244,True
81075,1.7,74,Wente Greenfield Office,36.279583,-121.30499,True
81843,3.05,74,Miss Eddie’s House,36.543636,-121.92493,True
82067,9.100000000000001,74,Los Altos Drive,36.966465,-121.88861,True
82459,0.55,74,Summit Rd.,37.035297,-121.74771,True
82905,12.7,74,Cresta Vista,37.139587,-122.12675,True
83259,7.0,74,Outside-Tinkers,37.114655,-122.10561,True
83931,2.2,74,Carmel Highlands,36.487633,-121.935036,True
83999,13.0,69,Brookdale,37.104656,-122.111984,True
84007,1.4,74,AHMF,37.111412,-121.99222,True
84061,1.8,74,Outlook Drive - Carmel,36.56402,-121.900856,True
84119,1.6,26,Sleeper Gulch,37.20419,-122.10903,True
84123,1.2,74,Upper Pine Hills Drive,36.561016,-121.89387,True
84215,1.05,74,Schulties Rd,37.118244,-121.96298,True
84249,1.75,74,Huntington Ct,36.981586,-121.870636,True
84581,5.4,74,car wash,36.98461,-121.98995,True
85101,3.25,74,Trescony Backyard,36.968403,-122.040886,True
85575,1.1,74,Sunrise,37.09469,-122.114235,True
85723,1.0,74,Ryder Road,37.075024,-122.041916,True
87653,19.9,74,Amity Ranch,36.552326,-121.11999,True
90443,1.0,74,Bohnen Road,37.070023,-121.95988,True
92225,2.9,74,Aptos Hills,36.94754,-121.83052,True
93521,2.4,74,Marc's weather station,36.596676,-121.909584,True
96241,3.0,74,East Garrison,36.65262,-121.73911,True
96633,1.0,74,Chalone Vineyard,36.470284,-121.229744,True
96829,5.3,74,BDUESD,37.062332,-122.14793,True
97265,0.6499999999999999,32,Post Ranch Sierra Mar South,36.22973,-121.77173,True
98167,0.15000000000000002,74,Skyline Goat Trail,37.179832,-122.02993,True
98209,5.1,74,Weather_Rock,36.779118,-121.72451,True
102596,0.8500000000000001,74,Olive Springs Near Quarry,37.058266,-121.92316,True
103870,1.4,74,Upper Zayante,37.161026,-122.013176,True
104680,8.8,74,Westside Lighthouse,36.954346,-122.032135,True
108636,0.6,74,Outside,37.232243,-122.14726,True
109182,0.4,74,Cloud's Rest,37.150047,-122.00445,True
109416,4.7,74,Carbonera,36.997307,-122.0149,True
109528,0.95,74,Hester Creek,37.088043,-121.94188,True
109856,1.3,74,Moongoat,37.0232,-121.9364,True
110666,16.55,74,Blackstone Drive (outside),37.127342,-122.12728,True
113220,3.5,74,Spanish Ranch,37.10412,-121.89996,True
113622,0.0,74,22546 Summit,37.142136,-121.97597,True
118953,1.1,74,Lupine Dr,37.054375,-122.02428,True
120179,0.9,74,Comstock Estates,36.929104,-121.356514,True
120313,0.0,74,1943 Redwood Dr,37.003704,-121.90143,True
120831,0.0,74,Carina,36.562366,-121.81591,True
120931,8.55,74,Paradise Park,37.00219,-122.038124,True
120967,1.35,74,Lower Valencia Rd,36.97983,-121.891335,True
121663,0.0,74,Kalkar Quarry,36.98214,-122.048676,True
124645,8.05,74,SYM1122P,36.92189,-121.75982,True
127271,1.0,51,Pleasure Point,36.961956,-121.96836,True
128217,0.0,74,MG,37.058117,-121.9571,True
128249,5.85,74,Creek Dr.,37.171894,-122.14442,True
131819,0.0,74,Upper Dry Creek Rd,36.59029,-121.91659,True
134888,1.0,74,Eighth St,36.660965,-121.80852,True
150824,1.6,74,Burl Road,37.032932,-122.00651,True
151530,4.3,74,McMahon Road Ranch,36.91161,-121.3512,True
152962,1.3,48,Skyote Mountain,37.092022,-121.997284,True
156279,4.65,74,Juniper Court,36.695824,-121.80144,True
156431,5.1,74,Mill Site Rd,37.058247,-122.019356,True
157139,1.15,74,SCWS,37.005974,-122.07281,True
159603,2.25,74,Day Valley,37.000256,-121.84941,True
163037,5.699999999999999,74,ucm-7e1f,36.21948,-121.13123,True
163039,6.199999999999999,74,ucm-431d,36.604824,-121.9192,True
163041,5.65,74,ucm-f94b,36.67722,-121.62704,True
163049,5.4,74,ucm-65cc,36.577785,-121.7175,True
163069,5.05,74,ucm-8b62,36.71268,-121.61996,True
163071,4.0,74,ucm-9742,36.42808,-121.33121,True
163085,4.65,74,ucm-653B,36.72671,-121.65586,True
163149,6.25,74,ucm-C045,36.67938,-121.62715,True
163201,1.85,74,ucm-8ba3,36.650852,-121.79771,True
165015,0.9,74,Upper Laurel Outside,36.48942,-121.73458,True
171975,2.95,74,VVDDC,36.588055,-121.905106,True
184713,0.7,74,Skyview,37.126644,-121.95656,True
187941,12.649999999999999,74,8133 Hihn,37.06981,-122.07168,True
193527,8.55,74,Gateway School (new),36.953396,-122.04876,True
193987,3.3499999999999996,74,Shepherds Knoll Road Bldg 2,36.581867,-121.91297,True
193989,0.0,74,Rancho Prieta,37.106766,-121.88154,True
195607,9.95,74,Westdale NW,37.06168,-122.145004,True
195856,3.8,74,Valley View Park,36.823673,-121.37095,True
195861,7.35,74,Santa Cruz California St,36.966747,-122.034424,True
196427,6.25,74,Outside the pain cave,36.973625,-122.035675,True
196433,1.9,74,Del Mesa Carmel,36.542767,-121.87376,True
196445,3.6,74,ConcordCourtMarina,36.67211,-121.79088,True
196803,195.4,42,Ohlone,36.46592,-121.79565,True
197591,0.3,74,Bear Creek Road,37.170845,-122.05572,True
198223,3.8,74,Walnut + King,36.973297,-122.03977,True
198861,4.8,74,Spruce St,36.9795,-121.91929,True
209511,30.95,74,Keller Drive,37.13154,-122.109795,True
224985,8.1,74,500 Westridge,36.91058,-121.78283,True
231181,1.4,74,4575 Paul Sweet,37.018036,-121.98132,True
233659,8.850000000000001,74,Crocker,36.628696,-121.933205,True
237037,1.4,74,New Idria,36.417637,-120.67252,True
237281,7.300000000000001,74,13th Street Central,36.62062,-121.91505,True
238631,7.85,74,Aguilar Home,36.92286,-121.769875,True
243529,19.700000000000003,74,huckleberry,37.130642,-122.11917,True
249427,6.699999999999999,74,Gold Gulch Rd,37.031773,-122.094,True
250327,3.1500000000000004,74,Tabor Dr,37.072155,-121.99598,True
