time_stamp,humidity,pm2.5_atm,pm2.5_cf_1,sensor_index
2025-01-16 12:00:00+00:00,40,6.9,6.9,4355
2025-01-16 00:00:00+00:00,28,4.4,4.4,4355
2025-01-16 07:00:00+00:00,39,9.7,9.7,4355
2025-01-16 10:00:00+00:00,41,9.2,9.2,4355
2025-01-16 02:00:00+00:00,35,6.3,6.3,4355
2025-01-14 15:00:00+00:00,42,3.8,3.8,4355
2025-01-14 21:00:00+00:00,27,1.0,1.0,4355
2025-01-14 02:00:00+00:00,31,3.2,3.2,4355
2025-01-14 04:00:00+00:00,34,5.3,5.3,4355
2025-01-14 07:00:00+00:00,34,6.4,6.4,4355
2025-01-14 13:00:00+00:00,40,3.5,3.5,4355
2025-01-14 17:00:00+00:00,39,3.7,3.7,4355
2025-01-14 22:00:00+00:00,25,0.9,0.9,4355
2025-01-14 11:00:00+00:00,40,6.7,6.7,4355
2025-01-15 06:00:00+00:00,44,12.4,12.4,4355
2025-01-15 15:00:00+00:00,45,7.2,7.2,4355
2025-01-15 09:00:00+00:00,44,10.0,10.0,4355
2025-01-15 04:00:00+00:00,41,8.2,8.2,4355
2025-01-15 10:00:00+00:00,42,8.8,8.8,4355
2025-01-15 21:00:00+00:00,25,4.9,4.9,4355
2025-01-15 05:00:00+00:00,43,10.8,10.8,4355
2025-01-15 13:00:00+00:00,43,6.3,6.3,4355
2025-01-15 08:00:00+00:00,45,11.7,11.7,4355
2025-01-19 15:00:00+00:00,53,13.6,13.6,4355
2025-01-19 10:00:00+00:00,53,17.6,17.6,4355
2025-01-19 08:00:00+00:00,52,21.2,21.2,4355
2025-01-19 17:00:00+00:00,50,12.5,12.5,4355
2025-01-19 07:00:00+00:00,53,17.7,17.7,4355
2025-01-19 02:00:00+00:00,46,15.6,15.6,4355
2025-01-19 16:00:00+00:00,51,13.9,13.9,4355
2025-01-20 03:00:00+00:00,50,22.4,22.4,4355
2025-01-20 02:00:00+00:00,49,16.6,16.6,4355
2025-01-20 20:00:00+00:00,38,9.3,9.3,4355
2025-01-24 11:00:00+00:00,40,10.2,10.2,4355
2025-01-24 16:00:00+00:00,35,5.4,5.4,4355
2025-01-24 06:00:00+00:00,37,10.1,10.1,4355
2025-01-24 04:00:00+00:00,35,9.1,9.1,4355
2025-01-24 17:00:00+00:00,34,7.3,7.3,4355
2025-01-24 14:00:00+00:00,41,8.2,8.2,4355
2025-01-24 09:00:00+00:00,37,11.1,11.1,4355
2025-01-21 04:00:00+00:00,36,4.6,4.6,4355
2025-01-21 16:00:00+00:00,37,3.3,3.3,4355
2025-01-21 05:00:00+00:00,36,5.1,5.1,4355
2025-01-21 00:00:00+00:00,26,7.8,7.8,4355
2025-01-21 09:00:00+00:00,35,6.4,6.4,4355
2025-01-21 13:00:00+00:00,36,3.0,3.0,4355
2025-01-21 02:00:00+00:00,40,17.1,17.3,4355
2025-01-23 08:00:00+00:00,41,9.6,9.6,4355
2025-01-23 15:00:00+00:00,41,9.0,9.0,4355
2025-01-23 04:00:00+00:00,37,10.7,10.7,4355
2025-01-23 22:00:00+00:00,19,4.3,4.3,4355
2025-01-17 00:00:00+00:00,28,6.0,6.0,4355
2025-01-17 14:00:00+00:00,42,10.1,10.1,4355
2025-01-17 08:00:00+00:00,44,11.1,11.1,4355
2025-01-17 18:00:00+00:00,48,19.8,19.8,4355
2025-01-17 19:00:00+00:00,50,19.5,19.5,4355
2025-01-17 06:00:00+00:00,46,10.7,10.7,4355
2025-01-22 11:00:00+00:00,38,7.4,7.4,4355
2025-01-22 20:00:00+00:00,23,2.8,2.8,4355
2025-01-22 21:00:00+00:00,20,2.8,2.8,4355
2025-01-22 15:00:00+00:00,41,7.2,7.2,4355
2025-01-18 13:00:00+00:00,49,12.1,12.1,4355
2025-01-18 04:00:00+00:00,53,20.8,20.8,4355
2025-01-18 17:00:00+00:00,49,10.1,10.1,4355
2025-01-18 01:00:00+00:00,48,17.3,17.3,4355
2025-01-18 20:00:00+00:00,48,7.2,7.2,4355
2025-01-16 16:00:00+00:00,38,3.0,3.0,4355
2025-01-16 19:00:00+00:00,32,4.5,4.5,4355
2025-01-16 13:00:00+00:00,39,5.6,5.6,4355
2025-01-16 06:00:00+00:00,39,9.9,9.9,4355
2025-01-16 01:00:00+00:00,30,7.6,7.6,4355
2025-01-14 23:00:00+00:00,25,1.1,1.1,4355
2025-01-14 01:00:00+00:00,30,9.0,9.0,4355
2025-01-14 20:00:00+00:00,31,2.2,2.2,4355
2025-01-14 19:00:00+00:00,37,3.4,3.4,4355
2025-01-14 12:00:00+00:00,40,4.0,4.0,4355
2025-01-15 01:00:00+00:00,33,3.8,3.8,4355
2025-01-15 14:00:00+00:00,44,7.4,7.4,4355
2025-01-15 16:00:00+00:00,44,6.9,6.9,4355
2025-01-15 17:00:00+00:00,41,5.7,5.7,4355
2025-01-19 04:00:00+00:00,50,16.9,16.9,4355
2025-01-19 05:00:00+00:00,50,18.4,18.4,4355
2025-01-20 21:00:00+00:00,31,6.0,6.0,4355
2025-01-20 12:00:00+00:00,53,12.4,12.4,4355
2025-01-20 23:00:00+00:00,25,4.9,4.9,4355
2025-01-20 17:00:00+00:00,52,20.3,20.3,4355
2025-01-20 04:00:00+00:00,52,19.3,19.3,4355
2025-01-20 11:00:00+00:00,53,12.7,12.7,4355
2025-01-20 22:00:00+00:00,28,5.3,5.3,4355
2025-01-20 09:00:00+00:00,52,16.4,16.4,4355
2025-01-24 07:00:00+00:00,36,9.5,9.5,4355
2025-01-24 03:00:00+00:00,33,10.4,10.4,4355
2025-01-24 21:00:00+00:00,27,6.0,6.0,4355
2025-01-24 13:00:00+00:00,41,9.4,9.4,4355
2025-01-24 02:00:00+00:00,29,11.5,11.5,4355
2025-01-24 22:00:00+00:00,32,7.1,7.1,4355
2025-01-21 17:00:00+00:00,35,4.6,4.6,4355
2025-01-21 10:00:00+00:00,37,6.6,6.6,4355
