sensor_index,name,latitude,longitude,episode_number,onset_time_utc,peak_time_utc,end_time_utc,duration_hours,hours_flagged,peak_pm25_atm,mean_pm25_atm,event_integrated_excess,baseline_median,robust_mad,event_threshold,baseline_source,event_rank,is_primary_event,hours_after_fire_start
4355,Laurel/California,36.968987,-122.03479,1,2025-01-18 02:00:00+00:00,2025-01-18 02:00:00+00:00,2025-01-18 05:00:00+00:00,4.0,4,21.9,21.15,61.199999999999996,5.85,3.0393299999999996,20.0,pre_fire_window,1,True,24.416666666666668
4355,Laurel/California,36.968987,-122.03479,2,2025-01-19 01:00:00+00:00,2025-01-19 01:00:00+00:00,2025-01-19 01:00:00+00:00,1.0,1,22.5,22.5,16.65,5.85,3.0393299999999996,20.0,pre_fire_window,2,False,47.416666666666664
4355,Laurel/California,36.968987,-122.03479,3,2025-01-19 08:00:00+00:00,2025-01-19 09:00:00+00:00,2025-01-19 09:00:00+00:00,2.0,2,21.6,21.4,31.1,5.85,3.0393299999999996,20.0,pre_fire_window,3,False,55.416666666666664
4355,Laurel/California,36.968987,-122.03479,4,2025-01-19 12:00:00+00:00,2025-01-19 12:00:00+00:00,2025-01-19 12:00:00+00:00,1.0,1,20.0,20.0,14.15,5.85,3.0393299999999996,20.0,pre_fire_window,4,False,58.416666666666664
4355,Laurel/California,36.968987,-122.03479,5,2025-01-20 03:00:00+00:00,2025-01-20 03:00:00+00:00,2025-01-20 03:00:00+00:00,1.0,1,22.4,22.4,16.549999999999997,5.85,3.0393299999999996,20.0,pre_fire_window,5,False,73.41666666666667
4355,Laurel/California,36.968987,-122.03479,6,2025-01-20 17:00:00+00:00,2025-01-20 18:00:00+00:00,2025-01-20 18:00:00+00:00,2.0,2,21.4,20.85,30.0,5.85,3.0393299999999996,20.0,pre_fire_window,6,False,88.41666666666667
4355,Laurel/California,36.968987,-122.03479,7,2025-01-23 03:00:00+00:00,2025-01-23 03:00:00+00:00,2025-01-23 03:00:00+00:00,1.0,1,20.2,20.2,14.35,5.85,3.0393299999999996,20.0,pre_fire_window,7,False,145.41666666666666
5488,Spruce @ 16th,36.618027,-121.919815,1,2025-01-17 03:00:00+00:00,2025-01-17 08:00:00+00:00,2025-01-17 18:00:00+00:00,16.0,15,28.6,25.413333333333334,298.7,5.5,3.11346,20.0,pre_fire_window,1,True,6.416666666666667
5488,Spruce @ 16th,36.618027,-121.919815,2,2025-01-18 02:00:00+00:00,2025-01-18 02:00:00+00:00,2025-01-18 02:00:00+00:00,1.0,1,21.5,21.5,16.0,5.5,3.11346,20.0,pre_fire_window,2,False,24.416666666666668
5488,Spruce @ 16th,36.618027,-121.919815,3,2025-01-18 10:00:00+00:00,2025-01-18 12:00:00+00:00,2025-01-18 16:00:00+00:00,7.0,7,35.0,27.657142857142862,155.1,5.5,3.11346,20.0,pre_fire_window,3,False,34.416666666666664
5488,Spruce @ 16th,36.618027,-121.919815,4,2025-01-18 21:00:00+00:00,2025-01-18 21:00:00+00:00,2025-01-18 22:00:00+00:00,2.0,2,25.4,23.95,36.9,5.5,3.11346,20.0,pre_fire_window,4,False,43.416666666666664
5488,Spruce @ 16th,36.618027,-121.919815,5,2025-01-19 02:00:00+00:00,2025-01-19 03:00:00+00:00,2025-01-19 21:00:00+00:00,20.0,19,52.9,29.442105263157895,454.9,5.5,3.11346,20.0,pre_fire_window,5,False,49.416666666666664
5488,Spruce @ 16th,36.618027,-121.919815,6,2025-01-20 02:00:00+00:00,2025-01-20 10:00:00+00:00,2025-01-20 10:00:00+00:00,9.0,7,40.3,28.52857142857143,161.2,5.5,3.11346,20.0,pre_fire_window,6,False,80.41666666666667
5488,Spruce @ 16th,36.618027,-121.919815,7,2025-01-24 04:00:00+00:00,2025-01-24 04:00:00+00:00,2025-01-24 05:00:00+00:00,2.0,2,24.1,22.35,33.7,5.5,3.11346,20.0,pre_fire_window,7,False,170.41666666666666
5488,Spruce @ 16th,36.618027,-121.919815,8,2025-01-24 20:00:00+00:00,2025-01-24 20:00:00+00:00,2025-01-24 20:00:00+00:00,1.0,1,20.3,20.3,14.8,5.5,3.11346,20.0,pre_fire_window,8,False,186.41666666666666
5650,Midtown Santa Cruz,36.981,-122.012,1,2025-01-18 02:00:00+00:00,2025-01-18 05:00:00+00:00,2025-01-18 06:00:00+00:00,5.0,5,29.5,26.419999999999998,105.35,5.35,3.6323699999999994,20.0,pre_fire_window,1,True,27.416666666666668
5650,Midtown Santa Cruz,36.981,-122.012,2,2025-01-19 03:00:00+00:00,2025-01-19 04:00:00+00:00,2025-01-19 06:00:00+00:00,4.0,4,29.4,22.75,69.6,5.35,3.6323699999999994,20.0,pre_fire_window,2,False,50.416666666666664
5650,Midtown Santa Cruz,36.981,-122.012,3,2025-01-20 01:00:00+00:00,2025-01-20 03:00:00+00:00,2025-01-20 06:00:00+00:00,6.0,5,30.8,25.7,101.75000000000001,5.35,3.6323699999999994,20.0,pre_fire_window,3,False,73.41666666666667
5650,Midtown Santa Cruz,36.981,-122.012,4,2025-01-20 16:00:00+00:00,2025-01-20 16:00:00+00:00,2025-01-20 17:00:00+00:00,2.0,2,21.0,20.65,30.6,5.35,3.6323699999999994,20.0,pre_fire_window,4,False,86.41666666666667
5650,Midtown Santa Cruz,36.981,-122.012,5,2025-01-21 02:00:00+00:00,2025-01-21 02:00:00+00:00,2025-01-21 02:00:00+00:00,1.0,1,20.8,20.8,15.450000000000001,5.35,3.6323699999999994,20.0,pre_fire_window,5,False,96.41666666666667
7846,Hillside Ave,36.603,-121.9294,1,2025-01-17 09:00:00+00:00,2025-01-17 09:00:00+00:00,2025-01-17 12:00:00+00:00,4.0,4,22.2,21.65,75.0,2.9,2.3721599999999996,20.0,pre_fire_window,1,True,7.416666666666667
7846,Hillside Ave,36.603,-121.9294,2,2025-01-17 15:00:00+00:00,2025-01-17 17:00:00+00:00,2025-01-17 17:00:00+00:00,3.0,3,22.8,21.766666666666666,56.60000000000001,2.9,2.3721599999999996,20.0,pre_fire_window,2,False,15.416666666666666
7846,Hillside Ave,36.603,-121.9294,3,2025-01-18 10:00:00+00:00,2025-01-18 12:00:00+00:00,2025-01-18 14:00:00+00:00,5.0,5,31.0,25.9,115.0,2.9,2.3721599999999996,20.0,pre_fire_window,3,False,34.416666666666664
7846,Hillside Ave,36.603,-121.9294,4,2025-01-18 21:00:00+00:00,2025-01-18 21:00:00+00:00,2025-01-18 22:00:00+00:00,2.0,2,22.0,21.7,37.6,2.9,2.3721599999999996,20.0,pre_fire_window,4,False,43.416666666666664
7846,Hillside Ave,36.603,-121.9294,5,2025-01-19 03:00:00+00:00,2025-01-19 04:00:00+00:00,2025-01-19 06:00:00+00:00,4.0,4,27.5,25.725,91.30000000000001,2.9,2.3721599999999996,20.0,pre_fire_window,5,False,50.416666666666664
7846,Hillside Ave,36.603,-121.9294,6,2025-01-19 10:00:00+00:00,2025-01-19 20:00:00+00:00,2025-01-19 21:00:00+00:00,12.0,11,28.0,23.38181818181818,225.3,2.9,2.3721599999999996,20.0,pre_fire_window,6,False,66.41666666666667
7846,Hillside Ave,36.603,-121.9294,7,2025-01-20 07:00:00+00:00,2025-01-20 09:00:00+00:00,2025-01-20 12:00:00+00:00,6.0,6,36.1,29.21666666666667,157.89999999999998,2.9,2.3721599999999996,20.0,pre_fire_window,7,False,79.41666666666667
9162,CCA Semilon and Viognier,36.98806,-121.58136,1,2025-01-17 17:00:00+00:00,2025-01-17 18:00:00+00:00,2025-01-17 19:00:00+00:00,3.0,3,26.0,23.53333333333333,59.35,3.75,2.7428099999999995,20.0,pre_fire_window,1,True,16.416666666666668
9162,CCA Semilon and Viognier,36.98806,-121.58136,2,2025-01-18 06:00:00+00:00,2025-01-18 09:00:00+00:00,2025-01-18 20:00:00+00:00,15.0,15,27.8,23.9,302.25,3.75,2.7428099999999995,20.0,pre_fire_window,2,False,31.416666666666668
9162,CCA Semilon and Viognier,36.98806,-121.58136,3,2025-01-19 11:00:00+00:00,2025-01-19 12:00:00+00:00,2025-01-19 12:00:00+00:00,2.0,2,21.1,20.700000000000003,33.900000000000006,3.75,2.7428099999999995,20.0,pre_fire_window,3,False,58.416666666666664
