sensor_index,name,latitude,longitude,pm2.5_atm
4355,Laurel/California,36.968987,-122.03479,2.4
5488,Spruce @ 16th,36.618027,-121.919815,5.2
5650,Midtown Santa Cruz,36.981,-122.012,1.4
7846,Hillside Ave,36.603,-121.9294,3.4
9162,CCA Semilon and Viognier,36.98806,-121.58136,1.1
14693,"Gilroy, California, Cedar Court",37.00943,-121.59573,0.2
18561,Del Rey Oaks,36.591408,-121.83396,3.8
19211,SempleAve ,36.967335,-121.88514,1.9
19457,Soquel Elementary,36.985897,-121.95652,0.0
19463,downtown on River Street,36.97847,-122.02638,0.3
19585,City of Gilroy,37.00723,-121.55959,1.3
19733,Grooming bays,36.924152,-121.81189,2.0
20607,Spencer Ct,36.982265,-121.98709,0.9
21887,Fish,36.967377,-122.043,0.0
23095,Luigi Aprea outside,37.026367,-121.60415,0.8
29349,Front Porch Aromas,36.905457,-121.65945,1.9
33673,Fairhaven,36.5681,-121.96127,0.0
34125,PG-Lighthouse,36.617977,-121.90805,3.0
36559,SJGR Salinas,36.75225,-121.62232,2.2
53503,Elk Run,36.58021,-121.86322,2.5
53877,PA-2 Colleen,36.990856,-121.93677,0.7
55699,Viewpoint,36.98682,-121.91102,5.1
56033,Monterey,36.577515,-121.85851,2.5
60283,Front Porch,36.88689,-121.58291,2.7
60549,alta,36.954903,-122.0388,0.0
60829,QUIEN SABE,37.04412,-122.02001,1.9
62207,15th Avenue,36.96255,-121.99147,0.3
63111,Marley,37.001842,-122.01962,0.6
63115,Camino Real,36.558426,-121.927345,4.3
63213,Canon Del Sol - La Selva Beach,36.92184,-121.85166,0.1
63429,"Eagle Ridge, Gilroy, California",37.005367,-121.621315,1.0
63507,Granite Creek Rd,37.036686,-121.99748,0.5
63873,Capitola Mall/Live Oak,36.970737,-121.9691,2.4
63933,Colton out,36.591637,-121.90228,1.2
64447,Hawthorne and Drake,36.611008,-121.9008,3.4
64711,Stance Ave,36.993504,-121.94746,0.4
65657,Pleasure Point,36.958485,-121.97253,4.9
65695,Western Court,36.96797,-122.05804,3.2
66185,SanMiguelCyn / TwinLakes Dr,36.87375,-121.689995,2.3
67193,Crest Lane Outdoors,36.91816,-121.83805,3.0
67323,LV outside,36.996357,-121.874214,1.2
67379,Roof,36.973373,-121.90826,5.0
67477,MH outside,36.968086,-122.03695,3.6
67817,CBS_SV,36.55621,-121.91748,4.7
68117,Lynwood Place (Outside),36.94366,-121.797195,1.5
68939,Harbor Pegasus Racing,36.96654,-122.00283,1.6
69491,Leavesley at Crews,37.037693,-121.520004,2.8
69681,Front Porch,36.876312,-121.62787,2.5
69899,The Dunes Marina,36.66424,-121.80471,4.7
71723,HilltopApartments,36.96411,-122.05722,3.1
71791,Schiller2,36.970497,-122.05811,3.1
72333,Spring Street Outside,36.982567,-122.04551,0.0
72573,Sensor3,36.82974,-121.64596,4.3
72597,San Bernabe,36.589924,-121.90349,0.2
73683,Harper Court,36.97484,-121.989395,1.7
74529,Edgefield Drive,36.56183,-121.90849,6.0
74825,Nobel Gulch Park,36.97698,-121.95003,1.4
75019,The Cosmic Center,36.816586,-121.73004,2.3
75153,Spyglass #16,36.586884,-121.94758,3.4
75753,"Corallitos, CA",36.978012,-121.82062,2.2
76373,OnTheCliff,36.962433,-122.05608,2.3
76499,Harper,36.568073,-121.70494,0.9
77451,Big Foot Hill,37.038143,-122.07705,1.2
77841,MVRR,36.97136,-121.86338,1.0
78433,Pippin,37.04834,-121.96994,1.8
78919,19yoZemite,36.617065,-121.828094,0.3
80087,329 Alta Vista Outside,36.968136,-122.04961,0.7
80409,Live Oak Santa Cruz,36.97257,-121.990425,0.0
80813,Hickman Ct.,36.959995,-121.97731,0.2
81047,Dover and Howe Outdoor,36.99021,-121.972244,2.6
82067,Los Altos Drive,36.966465,-121.88861,3.3
82447,Via Ventana,36.90906,-121.77564,2.2
82459,Summit Rd.,37.035297,-121.74771,0.5
84061,Outlook Drive - Carmel,36.56402,-121.900856,4.9
84123,Upper Pine Hills Drive,36.561016,-121.89387,3.9
84249,Huntington Ct,36.981586,-121.870636,1.0
84331,Light Springs Road,37.006554,-121.83728,0.0
