sensor_index,name,latitude,longitude,pm2.5_atm
301473,1244 Laurent St,36.977543,-122.042465,6.3
120801,"135 Calera Canyon Rd, Corral de Tierra",36.5335,-121.7379,0.0
237281,13th Street Central,36.62062,-121.91505,5.9
273795,"1425 Hidden Valley Road, Soquel",37.033356,-121.97321,5.5
62207,15th Avenue,36.96255,-121.99147,0.7
257653,180 Eleana Dr,37.074657,-122.07453,3.2
294423,1900 highway 1 space8,36.83389,-121.7728,6.3
120313,1943 Redwood Dr,37.003704,-121.90143,0.3
78919,19yoZemite,36.617065,-121.828094,0.5
113622,22546 Summit,37.142136,-121.97597,0.0
231181,4575 Paul Sweet,37.018036,-121.98132,0.0
224985,500 Westridge,36.91058,-121.78283,3.7
187941,8133 Hihn,37.06981,-122.07168,3.6
84007,AHMF,37.111412,-121.99222,1.8
67465,Agrinemsors - outside,36.46259,-121.729294,3.7
238631,Aguilar Home,36.92286,-121.769875,0.8
294439,Airpace Integrated,36.905975,-121.84182,5.5
271858,AllisonSt,36.90233,-121.73668,4.0
87653,Amity Ranch,36.552326,-121.11999,0.0
92225,Aptos Hills,36.94754,-121.83052,5.1
69557,Ashley and Balir,37.053818,-122.076485,0.0
70475,Aviator Ct,37.0524,-122.03299,5.3
96829,BDUESD,37.062332,-122.14793,3.6
81387,Bad Dog Farms,36.52744,-121.84132,3.0
258525,Banana belt,36.987244,-122.01285,5.6
70871,Bear Creek Rec,37.141594,-122.08988,0.0
197591,Bear Creek Road,37.170845,-122.05572,2.1
75887,Ben Lomond- Outside,37.086357,-122.08739,6.9
284682,Beverly Drive,36.93342,-121.74224,4.3
77451,Big Foot Hill,37.038143,-122.07705,5.2
78287,Big Redwood Park,37.114243,-121.98243,1.3
22427,BigSurMiddleRoad,36.254562,-121.81609,2.1
110666,Blackstone Drive (outside),37.127342,-122.12728,4.3
70729,Bluebonnet,37.050243,-122.02595,3.7
90443,Bohnen Road,37.070023,-121.95988,4.8
42967,Bonny Doon,37.048027,-122.16178,2.7
65421,Brackney,37.067093,-122.0805,4.1
308800,Brook Knoll,37.018013,-122.03122,5.0
83999,Brookdale,37.104656,-122.111984,0.0
70197,"Brookdale Neighborhood, Carmel",36.537342,-121.8693,3.1
72253,Buena Vista Outside,37.1509,-122.1251,2.9
150824,Burl Road,37.032932,-122.00651,3.7
67817,CBS_SV,36.55621,-121.91748,4.8
265737,CC5,36.767498,-121.75279,15.5
294301,CCA Fam. Andrade,36.770634,-121.76016,5.6
9190,CCA Tierra Grande and Via Paloma,36.537224,-121.79822,2.5
238567,CCA1,36.76182,-121.74768,4.1
238585,CCA10,36.680626,-121.626656,27.0
265781,CCA3,36.784927,-121.732285,4.5
266858,CCA4,36.77115,-121.75652,42.2
238599,CCA7,36.778805,-121.66431,2.1
238609,CCA8,36.76238,-121.7468,7.6
73219,CV Village,36.481075,-121.733665,3.4
283492,Calabas1,36.941273,-121.788956,8.4
69267,Calera Wine Company,36.738834,-121.37092,2.0
63115,Camino Real,36.558426,-121.927345,4.0
63213,Canon Del Sol - La Selva Beach,36.92184,-121.85166,3.4
63873,Capitola Mall/Live Oak,36.970737,-121.9691,5.4
109416,Carbonera,36.997307,-122.0149,6.0
120831,Carina,36.562366,-121.81591,0.3
83931,Carmel Highlands,36.487633,-121.935036,4.8
66355,Carmel Valley Ranch,36.5185,-121.79684,4.6
271856,Cerezes,36.925613,-121.739914,5.6
96633,Chalone Vineyard,36.470284,-121.229744,1.8
196279,Chartwell School,36.63665,-121.80296,4.0
66419,Christensen Ranch Airport,36.871403,-121.337685,1.6
109182,Cloud's Rest,37.150047,-122.00445,1.9
85249,Cloud9,37.227673,-122.15078,4.8
63933,Colton out,36.591637,-121.90228,2.6
120179,Comstock Estates,36.929104,-121.356514,0.0
196445,ConcordCourtMarina,36.67211,-121.79088,4.0
75753,"Corallitos, CA",36.978012,-121.82062,5.4
271866,Corralitos1,37.01897,-121.79427,0.0
19669,Country Estates,37.050777,-122.15775,5.8
128249,Creek Dr.,37.171894,-122.14442,0.0
67193,Crest Lane Outdoors,36.91816,-121.83805,8.4
82905,Cresta Vista,37.139587,-122.12675,3.5
233659,Crocker,36.628696,-121.933205,5.5
64315,Darwin's House,37.141586,-121.97135,4.4
159603,Day Valley,37.000256,-121.84941,4.0
196433,Del Mesa Carmel,36.542767,-121.87376,3.1
18561,Del Rey Oaks,36.591408,-121.83396,3.1
81047,Dover and Howe Outdoor,36.99021,-121.972244,7.2
283535,E Fifth,36.91951,-121.75037,5.2
96241,East Garrison,36.65262,-121.73911,3.6
74529,Edgefield Drive,36.56183,-121.90849,5.9
134888,Eighth St,36.660965,-121.80852,2.5
302722,El Capitan,36.669655,-121.78208,4.0
53503,Elk Run,36.58021,-121.86322,3.2
36619,Empire/Pine Flat,37.0837,-122.13436,1.9
66169,End of Echo Drive,37.142715,-121.97199,4.0
33673,Fairhaven,36.5681,-121.96127,0.0
294417,Fam Martinez,36.769165,-121.763985,7.4
296612,Farmer nr Cooper,37.0559,-122.07653,4.2
289402,Felton,37.08565,-122.03816,4.1
71541,Felton Heights,37.042908,-122.089485,0.0
135134,Fieldcrest,36.603237,-121.64552,2.0
20383,Firhaven Ln,37.10173,-121.90174,1.8
21887,Fish,36.967377,-122.043,0.0
67349,Fontenay Villa,37.08076,-121.97402,5.5
219125,Football stadium,36.83766,-121.404106,6.2
60283,Front Porch,36.88689,-121.58291,6.1
69681,Front Porch,36.876312,-121.62787,6.6
29349,Front Porch Aromas,36.905457,-121.65945,34.7
193527,Gateway School (new),36.953396,-122.04876,6.7
272777,"Glemar Street, Watsonville",36.92387,-121.75256,5.4
4797,Glengarry,37.031498,-122.069084,5.0
249427,Gold Gulch Rd,37.031773,-122.094,5.6
63507,Granite Creek Rd,37.036686,-121.99748,4.2
54745,Granite Ridge,37.060158,-121.99086,3.7
78591,GraniteCreek near Southwood,37.05643,-121.997284,4.8
19733,Grooming bays,36.924152,-121.81189,5.2
76499,Harper,36.568073,-121.70494,1.7
73683,Harper Court,36.97484,-121.989395,6.4
118477,Hawk Ridge Lane,36.994827,-121.757904,0.3
64447,Hawthorne and Drake,36.611008,-121.9008,14.1
109528,Hester Creek,37.088043,-121.94188,4.6
80813,Hickman Ct.,36.959995,-121.97731,3.8
134408,High Meadows,36.565357,-121.905685,0.0
73195,Hihn/Azalea,37.074978,-122.07756,0.0
7846,Hillside Ave,36.603,-121.9294,5.2
238583,Holand,36.93943,-121.76765,5.0
73589,HolbrookHouse,37.05646,-122.02592,0.0
11032,Hollister_snnyslp_ln,36.83655,-121.37074,3.5
84249,Huntington Ct,36.981586,-121.870636,4.2
39489,IRR-IRW,37.25159,-122.12254,3.3
36239,Jackson Ave,37.081284,-122.09461,4.5
283540,Javier Gonzalez-Rocha,36.867767,-121.73432,5.4
265801,Javiland,36.926186,-121.7738,5.5
156279,Juniper Court,36.695824,-121.80144,0.0
60165,K&amp;S Lockwood,35.923088,-121.07588,2.8
121663,Kalkar Quarry,36.98214,-122.048676,1.3
209511,Keller Drive,37.13154,-122.109795,2.0
221453,Kings Creek/Blue Ridge Air quality,37.153275,-122.13205,6.4
67323,LV outside,36.996357,-121.874214,5.1
94417,Las Colinas,37.00919,-121.80666,2.4
9750,Las Cumbres,37.208908,-122.06513,2.7
4355,Laurel/California,36.968987,-122.03479,5.1
84331,Light Springs Road,37.006554,-121.83728,0.0
80409,Live Oak Santa Cruz,36.97257,-121.990425,0.0
46465,Lompico Park,37.104336,-122.050674,8.3
82067,Los Altos Drive,36.966465,-121.88861,9.1
18877,"Los Gatos, CA",37.143368,-122.01382,0.3
68515,Lower Beatty,37.204376,-122.077896,0.2
38661,Lower Favre,37.190155,-122.05823,2.9
