sensor_index,name,latitude,longitude,pm2.5_atm
264593,oLoco,36.22511,-121.7638,3.3
3277,Shop,37.11794,-120.7445,0.0
3329,Front Office,37.11881,-120.74453,0.0
265737,CC5,36.767498,-121.75279,15.5
265781,CCA3,36.784927,-121.732285,4.5
265801,Javiland,36.926186,-121.7738,5.5
4103,Almaden Valley,37.236416,-121.88754,4.2
4299,Saratoga Scotland near Glasgow Rd,37.2747,-122.0229,6.1
4333,Saratoga_Hills,37.26342,-122.04283,4.3
4355,Laurel/California,36.968987,-122.03479,5.1
4431,SchnauzerLogic Studios,37.248825,-121.950264,5.6
4606,Stevens Canyon,37.28064,-122.11939,0.0
266858,CCA4,36.77115,-121.75652,42.2
4797,Glengarry,37.031498,-122.069084,5.0
5488,Spruce @ 16th,36.618027,-121.919815,4.8
5650,Midtown Santa Cruz,36.981,-122.012,6.5
6408,Amberwood,37.09569,-121.63899,9.6
268632,López Family,36.956783,-121.76231,6.1
7846,Hillside Ave,36.603,-121.9294,5.2
9162,CCA Semilon and Viognier,36.98806,-121.58136,2.1
9190,CCA Tierra Grande and Via Paloma,36.537224,-121.79822,2.5
271856,Cerezes,36.925613,-121.739914,5.6
271858,AllisonSt,36.90233,-121.73668,4.0
271866,Corralitos1,37.01897,-121.79427,0.0
9750,Las Cumbres,37.208908,-122.06513,2.7
271908,Pajaro 4,36.897957,-121.74808,4.1
272771,Pajaro2,36.90617,-121.74605,5.8
272777,"Glemar Street, Watsonville",36.92387,-121.75256,5.4
11032,Hollister_snnyslp_ln,36.83655,-121.37074,3.5
273795,"1425 Hidden Valley Road, Soquel",37.033356,-121.97321,5.5
14073,Briggs Creek Ridge 1600ft alt,37.186745,-122.021164,2.9
14633, Hazelwood canary ,37.275562,-121.964134,4.0
14693,"Gilroy, California, Cedar Court",37.00943,-121.59573,1.1
15245,Sunrise Almaden,37.22836,-121.86348,5.7
18299,Fruitvalle,37.251064,-122.0113,3.1
18395,Baird House,37.28167,-121.98334,4.8
18405,Almaden Greystone,37.21571,-121.83767,0.0
18431,Jackson Oaks,37.138313,-121.58963,4.2
18561,Del Rey Oaks,36.591408,-121.83396,3.1
18877,"Los Gatos, CA",37.143368,-122.01382,0.3
19023,Hillbrook School,37.22707,-121.953415,5.5
19063,Kennedy north,37.227673,-121.96063,3.6
19211,SempleAve ,36.967335,-121.88514,4.9
19425,Sanborn Park,37.22823,-122.05479,4.9
19457,Soquel Elementary,36.985897,-121.95652,0.0
19463,downtown on River Street,36.97847,-122.02638,1.2
19497,Scarsdale Place,37.19602,-121.84057,3.6
19507,Glen Crest - Almaden,37.202896,-121.850975,3.7
19585,City of Gilroy,37.00723,-121.55959,2.4
19669,Country Estates,37.050777,-122.15775,5.8
19733,Grooming bays,36.924152,-121.81189,5.2
20157,Weird Hill,37.272476,-121.815865,3.6
20383,Firhaven Ln,37.10173,-121.90174,1.8
20469,Campbell 85,37.26549,-121.98085,4.1
20527,Bohlman,37.24206,-122.04796,4.5
20573,Madrone Place AQI,37.246506,-122.126465,2.8
20607,Spencer Ct,36.982265,-121.98709,6.9
20609,Saratoga Country Club,37.283337,-122.053635,5.4
20659,End of Timmus Ln.,37.133007,-121.95076,0.0
283234,Middle Oak Ridge,37.20112,-122.05525,0.0
283492,Calabas1,36.941273,-121.788956,8.4
283535,E Fifth,36.91951,-121.75037,5.2
283540,Javier Gonzalez-Rocha,36.867767,-121.73432,5.4
21449,"Saratoga, CA",37.268364,-122.029854,3.3
21887,Fish,36.967377,-122.043,0.0
284252,Mariposa,37.23751,-121.98217,5.7
22427,BigSurMiddleRoad,36.254562,-121.81609,2.1
22513,Cheltenham Way,37.228786,-121.76118,4.6
284682,Beverly Drive,36.93342,-121.74224,4.3
284868,White Oak Way,36.50027,-121.75055,2.5
23095,Luigi Aprea outside,37.026367,-121.60415,2.7
23793,San Diego &amp; Ashlan,36.79301,-120.43946,2.8
289402,Felton,37.08565,-122.03816,4.1
28667,Hammer,37.255356,-121.8867,4.1
29349,Front Porch Aromas,36.905457,-121.65945,34.7
292763,Backyard,37.271122,-121.8718,4.6
294207,Morgan Hill,37.104218,-121.65701,6.4
294301,CCA Fam. Andrade,36.770634,-121.76016,5.6
294423,1900 highway 1 space8,36.83389,-121.7728,6.3
294417,Fam Martinez,36.769165,-121.763985,7.4
294439,Airpace Integrated,36.905975,-121.84182,5.5
33673,Fairhaven,36.5681,-121.96127,0.0
34125,PG-Lighthouse,36.617977,-121.90805,3.8
296612,Farmer nr Cooper,37.0559,-122.07653,4.2
35749,Los Gatos Vista,37.225002,-121.964355,5.3
36239,Jackson Ave,37.081284,-122.09461,4.5
298499,Monterey Bees,36.5894,-121.91816,5.1
36521,Doerr Park,37.2725,-121.9176,0.0
36559,SJGR Salinas,36.75225,-121.62232,4.8
298765,The Clown Car,37.283268,-122.0369,7.2
36619,Empire/Pine Flat,37.0837,-122.13436,1.9
38295,Monteverde Dr,37.22835,-121.89521,4.5
38547,Toll Gate,37.256374,-122.04934,4.7
38661,Lower Favre,37.190155,-122.05823,2.9
38889,Branham Jarvis,37.26046,-121.89164,5.8
301473,1244 Laurent St,36.977543,-122.042465,6.3
39489,IRR-IRW,37.25159,-122.12254,3.3
302722,El Capitan,36.669655,-121.78208,4.0
304094,Vierra Meadows PL,36.798122,-121.65601,4.7
42861,Casa Loma McKean,37.151684,-121.754295,2.6
42967,Bonny Doon,37.048027,-122.16178,2.7
46465,Lompico Park,37.104336,-122.050674,8.3
308800,Brook Knoll,37.018013,-122.03122,5.0
309400,Outside,37.283672,-121.96666,4.7
48593,Espresso Ridge,37.220184,-121.9918,5.4
50745,Meder St,36.97475,-122.06478,4.9
51587,Briarglen,37.264412,-121.87846,4.5
52735,Cedar Gables,37.26128,-121.87854,4.0
52931,Almaden Hills Estates,37.234093,-121.86431,2.7
53455,South Willow Glen (tl),37.28256,-121.88561,7.7
53459,Upper Montevina,37.20564,-122.01327,4.9
53503,Elk Run,36.58021,-121.86322,3.2
53877,PA-2 Colleen,36.990856,-121.93677,3.9
54119,"Hack Avenue, Campbell",37.264923,-121.97022,4.7
54169,Summit Rd,37.13286,-121.955925,3.7
54189,Brooktree Way,37.209034,-121.83564,3.9
54459,Hillvale,37.233856,-121.99346,57.8
54555,Mockingbird Hill Lane,37.195705,-121.83563,4.4
54745,Granite Ridge,37.060158,-121.99086,3.7
55171,Timber Ridge,37.07026,-121.98965,0.0
55699,Viewpoint,36.98682,-121.91102,7.7
55831,Rancho Santa Teresa,37.228844,-121.797195,5.5
55969,Rancho Laguna Seca,37.168655,-121.71998,5.8
56033,Monterey,36.577515,-121.85851,3.9
59693,SMeast,37.084263,-121.588264,2.7
60067,end-of-bohlman,37.22043,-122.03443,5.9
60165,K&amp;S Lockwood,35.923088,-121.07588,2.8
60191,Woodcrest Outdoor,36.59356,-121.901726,5.2
60283,Front Porch,36.88689,-121.58291,6.1
60313,Timber Ridge Lane,37.06883,-121.98734,1.5
60437,Holiday Court,37.159603,-121.61313,5.5
60549,alta,36.954903,-122.0388,0.0
60829,QUIEN SABE,37.04412,-122.02001,7.7
60843,eyeCatchLight Photography,36.969906,-122.048134,6.3
61597,Montauk Outdoors,37.2637,-122.01734,5.1
61655,Las Colinas,37.12947,-121.642944,3.7
62191,Hampton Drive,37.20658,-121.85951,9.0
62207,15th Avenue,36.96255,-121.99147,0.7
62279,Francis Oaks Exterior,37.234383,-121.93943,0.0
63111,Marley,37.001842,-122.01962,7.0
63113,FBW,36.835922,-120.317635,7.0
63115,Camino Real,36.558426,-121.927345,4.0
63163,Boyer Outside,37.22668,-121.97852,5.2
63213,Canon Del Sol - La Selva Beach,36.92184,-121.85166,3.4
63247,Crossgates neighborhood,37.22564,-121.87434,4.6
63429,"Eagle Ridge, Gilroy, California",37.005367,-121.621315,2.2
63437,Craig Ave,37.277836,-121.96574,0.0
63507,Granite Creek Rd,37.036686,-121.99748,4.2
63593,Lower Loma Alta Ave.,37.22119,-121.970856,5.4
63873,Capitola Mall/Live Oak,36.970737,-121.9691,5.4
63933,Colton out,36.591637,-121.90228,2.6
64315,Darwin's House,37.141586,-121.97135,4.4
64399,Plympton,37.226246,-121.763794,5.0
64403,East vineland,37.243298,-121.97303,0.0
64409,Vista del Mar,37.21985,-121.96618,7.4
64447,Hawthorne and Drake,36.611008,-121.9008,14.1
64461,Villa del Monte (West),37.123894,-121.958466,2.6
64711,Stance Ave,36.993504,-121.94746,4.4
64783,Galen,37.229588,-121.82575,6.1
64857,Montego Hills,37.219116,-121.8935,5.4
65237,The Wolf's Den (Outside),37.268948,-121.80973,4.6
65269,Vale &amp; Parr,37.26421,-121.96677,4.4
65421,Brackney,37.067093,-122.0805,4.1
65657,Pleasure Point,36.958485,-121.97253,5.2
65695,Western Court,36.96797,-122.05804,5.8
65717,Silver&amp;Black,37.275345,-121.9388,5.8
65721,Lincoln Glen,37.281696,-121.89232,6.9
65727,Bees Knees,37.27943,-121.97542,4.4
65947,Sunny Cove,36.961082,-121.98862,4.1
66019,Branham and Kingspark,37.2665,-121.84102,4.5
66169,End of Echo Drive,37.142715,-121.97199,4.0
66185,SanMiguelCyn / TwinLakes Dr,36.87375,-121.689995,5.9
66355,Carmel Valley Ranch,36.5185,-121.79684,4.6
66419,Christensen Ranch Airport,36.871403,-121.337685,1.6
66427,Graystone outdoor,37.21696,-121.8346,0.0
67193,Crest Lane Outdoors,36.91816,-121.83805,8.4
67279,Vasquez Trail,36.465576,-121.78044,4.0
67307,Kennedy,37.227036,-121.966896,5.7
67323,LV outside,36.996357,-121.874214,5.1
67349,Fontenay Villa,37.08076,-121.97402,5.5
67379,Roof,36.973373,-121.90826,9.0
67465,Agrinemsors - outside,36.46259,-121.729294,3.7
67477,MH outside,36.968086,-122.03695,9.6
67817,CBS_SV,36.55621,-121.91748,4.8
67911,Whispering Oaks,37.194065,-121.818016,5.9
68057,SCT Outside,36.43751,-121.79037,2.1
68117,Lynwood Place (Outside),36.94366,-121.797195,5.4
68291,Crestwood,37.27533,-121.888275,7.8
68433,5819 Zileman Drive,37.2453,-121.820816,7.4
68515,Lower Beatty,37.204376,-122.077896,0.2
