sensor_index,name,latitude,longitude,pm2.5_atm,dist
265737,CC5,36.767498,-121.75279,5.2,0.05121247605808558
265781,CCA3,36.784927,-121.732285,3.0,0.05930327102277038
265801,Javiland,36.926186,-121.7738,2.8,0.1226461568741573
4355,Laurel/California,36.968987,-122.03479,2.4,0.29638859740043366
4797,Glengarry,37.031498,-122.069084,1.2,0.36112761769213586
5488,Spruce @ 16th,36.618027,-121.919815,5.2,0.22810324494403714
5650,Midtown Santa Cruz,36.981,-122.012,1.4,0.2850074560428155
268632,López Family,36.956783,-121.76231,2.5,0.1545835010245288
7846,Hillside Ave,36.603,-121.9294,3.4,0.24590886523262692
9162,CCA Semilon and Viognier,36.98806,-121.58136,1.1,0.27668603000513026
271856,Cerezes,36.925613,-121.739914,2.8,0.13051358689807016
271858,AllisonSt,36.90233,-121.73668,4.0,0.1107018938410703
271866,Corralitos1,37.01897,-121.79427,0.4,0.21465303585088358
271908,Pajaro 4,36.897957,-121.74808,2.5,0.101835949688702
272771,Pajaro2,36.90617,-121.74605,3.2,0.11019163035367625
273795,"1425 Hidden Valley Road, Soquel",37.033356,-121.97321,0.2,0.29430011558950153
14693,"Gilroy, California, Cedar Court",37.00943,-121.59573,0.2,0.28128367496177525
18561,Del Rey Oaks,36.591408,-121.83396,3.8,0.21783119075100277
19211,SempleAve ,36.967335,-121.88514,1.9,0.18954102412142654
19457,Soquel Elementary,36.985897,-121.95652,0.0,0.2474654105304356
19463,downtown on River Street,36.97847,-122.02638,0.3,0.2949278747422808
19585,City of Gilroy,37.00723,-121.55959,1.3,0.30569310263727334
19733,Grooming bays,36.924152,-121.81189,2.0,0.12205338833477557
20607,Spencer Ct,36.982265,-121.98709,0.9,0.2667459883953164
283492,Calabas1,36.941273,-121.788956,1.3,0.13687457201759703
283535,E Fifth,36.91951,-121.75037,2.1,0.12119817242846749
283540,Javier Gonzalez-Rocha,36.867767,-121.73432,1.7,0.08324191906125787
